,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,718.69B",0.60%,27286623,307.39B
1,META,"Meta Platforms, Inc.","1,232.87B",3.34%,15339837,134.90B
2,NFLX,"Netflix, Inc.",260.06B,1.69%,2793999,33.72B
3,DIS,The Walt Disney Company,206.01B,0.13%,5761813,88.94B
4,TMUS,"T-Mobile US, Inc.",194.93B,-0.66%,3782947,78.56B
5,CMCSA,Comcast Corporation,172.93B,-0.82%,16481295,121.57B
6,VZ,Verizon Communications Inc.,167.88B,-,9717038,133.97B
7,T,AT&T Inc.,123.96B,-0.75%,23290423,122.43B
8,RELX,RELX PLC,81.30B,1.09%,980966,11.60B
9,NTES,"NetEase, Inc.",69.77B,1.31%,1416737,14.59B
10,AMX,"América Móvil, SAB de CV",59.43B,0.74%,645515,36.56B
11,DASH,"DoorDash, Inc.",52.43B,1.30%,3170704,8.64B
12,SPOT,Spotify Technology S.A.,50.46B,1.43%,1191796,14.72B
13,CHTR,"Charter Communications, Inc.",43.31B,-1.19%,1620979,54.61B
14,EA,Electronic Arts Inc.,36.55B,-0.52%,1447601,7.66B
15,BIDU,"Baidu, Inc.",35.41B,3.93%,3618744,18.98B
16,BCE,BCE Inc.,33.25B,-0.71%,2068382,18.55B
17,ORAN,Orange S.A.,30.38B,-1.47%,714065,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",30.04B,0.23%,76916,7.26B
19,RBLX,Roblox Corporation,26.54B,-2.93%,9656391,2.80B
20,TU,TELUS Corporation,25.53B,-0.98%,1676273,15.12B
21,TLK,Telkom Indonesia (Persero) Tbk PT,24.79B,-0.32%,106594,9.48B
22,TTWO,"Take-Two Interactive Software, Inc.",24.69B,-0.92%,1731269,5.40B
23,VOD,Vodafone Group PLC,24.63B,-0.99%,11607774,47.57B
24,PINS,"Pinterest, Inc.",23.32B,1.54%,6297297,3.06B
25,RCI,Rogers Communications Inc.,23.25B,-1.47%,487347,14.52B
26,LYV,"Live Nation Entertainment, Inc.",23.09B,1.84%,1889820,22.75B
27,WBD,"Warner Bros. Discovery, Inc.",22.13B,-2.32%,25568537,41.32B
28,SNAP,Snap Inc.,19.54B,-0.84%,16461405,4.61B
29,OMC,Omnicom Group Inc.,18.69B,0.47%,1899941,14.69B
30,TME,Tencent Music Entertainment Group,18.21B,2.90%,10629179,3.89B
31,WMG,Warner Music Group Corp.,17.64B,-0.35%,969633,6.30B
32,VIV,Telefônica Brasil S.A.,17.39B,0.29%,486544,10.70B
33,FWONA,Formula One Group - Series A,16.56B,-0.66%,64592,12.53B
34,FWONK,Formula One Group - Series C,16.55B,-0.73%,1176179,-
35,SIRI,Sirius XM Holdings Inc.,16.02B,-1.44%,21700119,8.95B
36,NWSA,News Corporation,15.24B,-0.19%,2408770,9.97B
37,FOXA,Fox Corporation,13.58B,-1.57%,2762290,14.56B
38,Z,"Zillow Group, Inc.",13.19B,-0.67%,1780080,1.95B
39,IPG,"The Interpublic Group of Companies, Inc.",12.48B,-1.21%,4716350,10.89B
40,TWLO,Twilio Inc.,11.32B,0.47%,2245766,4.15B
41,LSXMB,Liberty SiriusXM Group - Series B,9.86B,1.01%,252,-
42,WPP,WPP plc,9.83B,0.83%,102258,18.79B
43,LSXMK,Liberty SiriusXM Group - Series C,9.78B,-0.60%,11032272,-
44,LSXMA,Liberty SiriusXM Group - Series A,9.76B,-0.99%,7581611,-
45,TIMB,TIM S.A.,9.39B,0.65%,629798,4.07B
46,ROKU,"Roku, Inc.",9.24B,-0.43%,3711013,3.48B
47,MTCH,"Match Group, Inc.",9.14B,-1.64%,6123404,3.36B
48,PSO,Pearson plc,8.91B,1.56%,665586,4.65B
49,SKM,"SK Telecom Co.,Ltd",8.52B,0.09%,148611,9.72B
50,LBRDK,Liberty Broadband Corporation,8.48B,-1.60%,633925,981.00M
51,PARA,Paramount Global,7.98B,-0.26%,18935209,29.65B
52,EDR,"Endeavor Group Holdings, Inc.",7.48B,-0.76%,1475691,5.96B
53,NYT,The New York Times Company,7.19B,-0.75%,1329098,2.43B
54,KT,KT Corporation,7.19B,-0.35%,889725,20.80B
55,TKO,"TKO Group Holdings, Inc.",7.10B,-0.02%,893926,1.67B
56,LBTYK,Liberty Global plc,6.71B,-1.24%,1286345,7.49B
57,PHI,PLDT Inc.,6.29B,-4.67%,554324,3.68B
58,FYBR,"Frontier Communications Parent, Inc.",6.04B,-1.80%,1339820,5.74B
59,NXST,"Nexstar Media Group, Inc.",5.54B,-0.28%,294382,4.93B
60,BILI,Bilibili Inc.,5.20B,0.63%,11064471,3.18B
61,IAC,IAC Inc.,4.50B,0.83%,461273,4.37B
62,MSGS,Madison Square Garden Sports Corp.,4.43B,-0.12%,80009,879.61M
63,TKC,Turkcell Iletisim Hizmetleri A.S.,4.25B,-0.81%,335379,3.29B
64,IQ,"iQIYI, Inc.",3.89B,5.65%,10783430,4.50B
65,IRDM,Iridium Communications Inc.,3.54B,-1.52%,1054603,790.72M
66,LLYVA,Liberty Live Group - Series A,3.30B,1.93%,89501,-
67,ATHM,Autohome Inc.,3.26B,2.88%,581990,985.69M
68,CCOI,"Cogent Communications Holdings, Inc.",3.23B,0.32%,726800,940.92M
69,ZD,"Ziff Davis, Inc.",3.13B,-1.50%,179204,1.36B
70,TIGO,Millicom International Cellular S.A.,3.13B,-0.16%,57514,5.57B
71,USM,United States Cellular Corporation,3.01B,1.38%,139289,3.91B
72,TEO,Telecom Argentina S.A.,2.86B,3.06%,105725,4.13B
73,LLYVK,Liberty Live Group - Series C,2.75B,1.89%,203921,-
74,GSAT,"Globalstar, Inc.",2.69B,2.10%,5487449,223.81M
75,TGNA,TEGNA Inc.,2.69B,-0.99%,1629513,2.91B
76,IDCC,"InterDigital, Inc.",2.66B,0.36%,338960,549.59M
77,PLTK,Playtika Holding Corp.,2.62B,-2.20%,939012,2.57B
78,YELP,Yelp Inc.,2.61B,0.05%,348671,1.34B
79,CABO,"Cable One, Inc.",2.61B,-0.42%,79409,1.68B
80,PLAY,"Dave & Buster's Entertainment, Inc.",2.51B,2.29%,563729,2.17B
81,CARG,"CarGurus, Inc.",2.47B,-0.04%,1034470,914.24M
82,MANU,Manchester United plc,2.43B,1.13%,800428,797.40M
83,BATRA,Atlanta Braves Holdings Inc,2.43B,-0.29%,26720,640.67M
84,BATRK,Atlanta Braves Holdings Inc,2.42B,-0.67%,104410,640.67M
85,CMPR,Cimpress plc,2.38B,1.81%,92652,3.21B
86,LGF.A,Lions Gate Entertainment Corp.,2.30B,-1.97%,501834,3.98B
87,WB,Weibo Corporation,2.28B,4.65%,2136704,1.74B
88,CNK,"Cinemark Holdings, Inc.",2.15B,2.66%,3321153,3.07B
89,WLY,"John Wiley & Sons, Inc.",2.04B,-0.32%,246676,1.93B
90,GETY,"Getty Images Holdings, Inc.",1.92B,3.98%,351942,922.08M
91,BOWL,Bowlero Corp.,1.90B,1.90%,339469,1.09B
92,CRTO,Criteo S.A.,1.87B,3.52%,307852,1.95B
93,LUMN,"Lumen Technologies, Inc.",1.84B,-2.27%,7728205,14.56B
94,MSGE,Madison Square Garden Entertainment Corp.,1.83B,0.93%,391601,894.04M
95,YY,JOYY Inc.,1.82B,5.59%,418753,2.30B
96,VEON,VEON Ltd.,1.82B,-0.35%,25632,1.72B
97,TDS,"Telephone and Data Systems, Inc.",1.78B,-0.19%,470920,5.16B
98,SSTK,"Shutterstock, Inc.",1.78B,0.92%,398154,874.59M
99,TV,"Grupo Televisa, S.A.B.",1.73B,-3.70%,1238037,3.88B
100,SPHR,Sphere Entertainment Co.,1.69B,0.35%,429247,229.80M
101,MGNI,"Magnite, Inc.",1.58B,-0.09%,699579,619.71M
102,IAS,Integral Ad Science Holding Corp.,1.54B,0.52%,1084031,474.37M
103,STGW,Stagwell Inc.,1.51B,3.00%,502918,2.53B
104,OPRA,Opera Limited,1.35B,6.00%,2786216,396.83M
105,MOMO,Hello Group Inc.,1.34B,5.52%,2614769,1.68B
106,ANGI,Angi Inc.,1.32B,1.90%,406950,1.36B
107,MAX,"MediaAlpha, Inc.",1.28B,1.44%,376529,388.15M
108,TBLA,Taboola.com Ltd.,1.28B,4.17%,13024121,1.44B
109,LILAK,Liberty Latin America Ltd.,1.28B,-4.16%,1254129,4.51B
110,ADV,Advantage Solutions Inc.,1.25B,3.32%,513095,4.22B
111,GENI,Genius Sports Limited,1.24B,-0.51%,3178320,412.98M
112,SEAT,Vivid Seats Inc.,1.21B,-0.17%,1378116,712.88M
113,ATUS,"Altice USA, Inc.",1.20B,1.14%,1115778,9.24B
114,SCHL,Scholastic Corporation,1.18B,-3.36%,258109,1.64B
115,AMC,"AMC Entertainment Holdings, Inc.",1.15B,-0.46%,6785835,4.81B
116,GOGO,Gogo Inc.,1.14B,-0.90%,748345,397.58M
117,HUYA,HUYA Inc.,1.07B,4.02%,3136761,1.03B
118,PERI,Perion Network Ltd.,1.06B,1.06%,320936,743.16M
119,IDT,IDT Corporation,955.89M,1.88%,69750,1.20B
120,SHEN,Shenandoah Telecommunications Company,919.48M,-2.52%,103654,287.38M
121,TTGT,"TechTarget, Inc.",906.93M,-0.69%,60177,229.96M
122,IMAX,IMAX Corporation,893.82M,-0.41%,475025,374.84M
123,KIND,"Nextdoor Holdings, Inc.",873.86M,-0.45%,1261966,218.31M
124,FVRR,Fiverr International Ltd.,870.02M,0.85%,668151,361.38M
125,DLX,Deluxe Corporation,847.62M,-0.16%,98488,2.19B
126,CCO,"Clear Channel Outdoor Holdings, Inc.",846.51M,-1.71%,414780,2.13B
127,QNST,"QuinStreet, Inc.",844.76M,-0.78%,186928,549.59M
128,IHS,IHS Holding Limited,836.31M,0.40%,1130453,2.14B
129,SBGI,"Sinclair Broadcast Group, Inc.",796.34M,-2.76%,432510,3.13B
130,THRY,"Thryv Holdings, Inc.",781.56M,1.55%,254080,916.96M
131,ASTS,"AST SpaceMobile, Inc.",780.33M,-2.30%,3369679,-
132,SMWB,Similarweb Ltd.,747.05M,-5.16%,270192,218.02M
133,DDI,"DoubleDown Interactive Co., Ltd.",718.03M,1.38%,36391,308.86M
134,GRPN,"Groupon, Inc.",683.66M,5.81%,918058,525.35M
135,ATEX,Anterix Inc.,670.98M,-2.62%,89241,3.54M
136,NN,NextNav Inc.,579.43M,-0.38%,2550903,3.46M
137,EVER,"EverQuote, Inc.",578.48M,8.28%,952981,287.92M
138,GTN,"Gray Television, Inc.",575.31M,0.17%,1320646,3.28B
139,AMCX,AMC Networks Inc.,516.16M,2.52%,702858,2.71B
140,GRVY,"Gravity Co., Ltd.",514.15M,0.75%,32281,558.92M
141,ATNI,"ATN International, Inc.",508.76M,-1.33%,43554,755.27M
142,BOC,Boston Omaha Corporation,503.07M,-0.06%,120864,94.18M
143,CNSL,"Consolidated Communications Holdings, Inc.",495.33M,0.23%,390870,1.11B
144,RBBN,Ribbon Communications Inc.,494.97M,-0.35%,269701,826.34M
145,RSVR,"Reservoir Media, Inc.",477.75M,0.41%,21219,140.52M
146,FUBO,fuboTV Inc.,474.71M,-4.35%,13739903,1.37B
147,GDEV,GDEV Inc.,454.10M,-1.74%,978,-
148,MCS,The Marcus Corporation,453.00M,-0.42%,218591,729.58M
149,ZH,Zhihu Inc.,451.48M,3.09%,1435731,574.22M
150,CCG,Cheche Group Inc,421.86M,-3.60%,14705,-
151,EEX,"Emerald Holding, Inc.",375.66M,-1.18%,7641,382.80M
152,NCMI,"National CineMedia, Inc.",372.14M,0.65%,279803,166.10M
153,NEXN,Nexxen International Ltd.,365.54M,-0.60%,31492,331.99M
154,SSP,The E.W. Scripps Company,361.32M,-2.56%,630984,2.29B
155,TRUE,"TrueCar, Inc.",334.59M,-,139849,158.71M
156,CDLX,"Cardlytics, Inc.",333.27M,1.88%,421825,302.54M
157,JFIN,Jiayin Group Inc.,332.85M,4.19%,65590,676.85M
158,SOHU,Sohu.com Limited,326.91M,6.60%,68930,600.67M
159,DRCT,"Direct Digital Holdings, Inc.",315.09M,3.76%,75240,146.84M
160,GCI,"Gannett Co., Inc.",313.25M,-1.43%,316755,2.66B
161,WOW,"WideOpenWest, Inc.",289.79M,-1.42%,605591,698.40M
162,MYPS,"PLAYSTUDIOS, Inc.",287.48M,5.91%,614903,313.15M
163,CTV,Innovid Corp.,282.23M,-5.03%,781040,139.88M
164,IHRT,"iHeartMedia, Inc.",275.80M,0.91%,549549,3.75B
165,ADTH,"AdTheorent Holding Company, Inc.",243.55M,3.99%,170281,162.93M
166,DOYU,DouYu International Holdings Limited,243.03M,4.76%,1041734,813.69M
167,SIFY,Sify Technologies Limited,239.51M,2.27%,99124,421.93M
168,OOMA,"Ooma, Inc.",231.43M,-1.79%,34697,231.56M
169,HAO,Haoxi Health Technology Limited,229.54M,-0.28%,19002,28.23M
170,OB,Outbrain Inc.,202.60M,-3.63%,200831,935.82M
171,RDCM,RADCOM Ltd.,177.92M,2.09%,72185,51.60M
172,TRVG,trivago N.V.,176.99M,-0.39%,9494,538.92M
173,TSQ,"Townsquare Media, Inc.",175.76M,-1.14%,30724,459.72M
174,LVO,"LiveOne, Inc.",160.77M,1.92%,310502,113.09M
175,EVC,Entravision Communications Corporation,152.17M,-2.00%,1924724,1.08B
176,SKLZ,Skillz Inc.,150.56M,-0.14%,122738,163.66M
