,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,786.22B",1.99%,34908647,574.79B
1,TSLA,"Tesla, Inc.",566.16B,-0.13%,86753934,96.77B
2,HD,"The Home Depot, Inc.",369.76B,0.81%,2773871,152.67B
3,TM,Toyota Motor Corporation,324.49B,1.06%,242774,308.27B
4,MCD,McDonald's Corporation,212.88B,-0.17%,1505905,25.49B
5,BABA,Alibaba Group Holding Limited,189.83B,1.60%,13070114,130.82B
6,NKE,"NIKE, Inc.",150.24B,-0.89%,5618281,51.54B
7,PDD,PDD Holdings Inc.,148.66B,5.60%,9972795,27.31B
8,LOW,"Lowe's Companies, Inc.",138.31B,0.95%,1526324,86.38B
9,BKNG,Booking Holdings Inc.,119.69B,-0.08%,186980,21.37B
10,TJX,"The TJX Companies, Inc.",109.94B,0.78%,3215378,54.22B
11,ABNB,"Airbnb, Inc.",106.10B,2.26%,3928139,9.92B
12,SBUX,Starbucks Corporation,104.24B,0.36%,9326655,36.69B
13,STLA,Stellantis N.V.,83.41B,2.18%,4347555,210.60B
14,MELI,"MercadoLibre, Inc.",78.60B,-0.11%,310613,14.47B
15,RACE,Ferrari N.V.,74.56B,2.66%,399370,6.63B
16,CMG,"Chipotle Mexican Grill, Inc.",73.66B,2.15%,162385,9.87B
17,MAR,"Marriott International, Inc.",71.93B,0.89%,1253758,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",64.12B,0.78%,306613,15.81B
19,LULU,Lululemon Athletica Inc.,58.12B,1.64%,837506,9.19B
20,HMC,"Honda Motor Co., Ltd.",56.72B,1.50%,553291,136.70B
21,AZO,"AutoZone, Inc.",52.98B,-0.03%,109147,17.83B
22,CPRT,"Copart, Inc.",52.43B,1.21%,5152669,4.06B
23,HLT,Hilton Worldwide Holdings Inc.,51.49B,1.39%,972079,10.24B
24,DHI,"D.R. Horton, Inc.",50.67B,1.25%,1773173,35.93B
25,ROST,"Ross Stores, Inc.",49.11B,0.43%,1862640,20.38B
26,F,Ford Motor Company,48.12B,-,29050175,176.19B
27,GM,General Motors Company,45.63B,-0.81%,11965922,171.84B
28,LEN,Lennar Corporation,45.27B,1.13%,2098614,34.23B
29,JD,"JD.com, Inc.",42.85B,5.02%,23582189,152.98B
30,LVS,Las Vegas Sands Corp.,39.65B,0.65%,2519137,10.37B
31,YUM,"Yum! Brands, Inc.",39.54B,0.47%,1170535,7.08B
32,FLUT,Flutter Entertainment plc,39.02B,1.28%,82791,9.28B
33,LI,Li Auto Inc.,37.73B,8.91%,13088904,17.47B
34,QSR,Restaurant Brands International Inc.,36.06B,1.93%,1119698,7.02B
35,CPNG,"Coupang, Inc.",33.23B,4.59%,51019545,24.38B
36,SE,Sea Limited,33.22B,-0.67%,5075983,13.06B
37,RCL,Royal Caribbean Cruises Ltd.,32.80B,1.52%,2461286,13.90B
38,TCOM,Trip.com Group Limited,29.27B,2.29%,2988785,6.28B
39,TSCO,Tractor Supply Company,27.00B,0.32%,581509,14.56B
40,EBAY,eBay Inc.,26.70B,-1.24%,7855833,10.11B
41,ULTA,"Ulta Beauty, Inc.",26.64B,1.28%,557966,10.88B
42,NVR,"NVR, Inc.",24.55B,1.29%,13151,9.31B
43,PHM,"PulteGroup, Inc.",23.90B,1.18%,1099295,16.06B
44,DECK,Deckers Outdoor Corporation,23.14B,1.49%,211954,4.12B
45,MBLY,Mobileye Global Inc.,22.29B,2.56%,3626218,2.08B
46,ROL,"Rollins, Inc.",22.13B,0.13%,1549811,3.07B
47,APTV,Aptiv PLC,21.91B,0.25%,1333376,20.05B
48,GPC,Genuine Parts Company,21.26B,1.02%,701645,23.09B
49,CCL,Carnival Corporation & plc,21.20B,0.06%,21376278,21.59B
50,BALL,Ball Corporation,20.81B,-0.65%,1110410,14.03B
51,DRI,"Darden Restaurants, Inc.",20.52B,0.30%,623343,11.01B
52,DKNG,DraftKings Inc.,19.59B,1.73%,7532555,3.67B
53,EXPE,"Expedia Group, Inc.",18.66B,-0.23%,1582995,12.84B
54,IHG,InterContinental Hotels Group PLC,17.76B,2.15%,186704,4.62B
55,PKG,Packaging Corporation of America,16.82B,-0.51%,373697,7.80B
56,YUMC,"Yum China Holdings, Inc.",16.52B,3.04%,4638324,10.98B
57,BBY,"Best Buy Co., Inc.",16.46B,1.23%,2359243,43.45B
58,H,Hyatt Hotels Corporation,15.86B,1.52%,430684,6.67B
59,MGA,Magna International Inc.,15.52B,-0.94%,887085,42.80B
60,DPZ,"Domino's Pizza, Inc.",15.45B,1.96%,433841,4.48B
61,WSM,"Williams-Sonoma, Inc.",15.16B,1.99%,1582704,7.92B
62,DKS,"DICK'S Sporting Goods, Inc.",14.75B,0.98%,1202998,12.70B
63,CVNA,Carvana Co.,13.93B,-2.33%,4608244,10.77B
64,BURL,"Burlington Stores, Inc.",13.84B,2.32%,658919,9.73B
65,LKQ,LKQ Corporation,13.79B,0.31%,1668319,13.87B
66,MGM,MGM Resorts International,13.77B,0.38%,2570103,16.16B
67,AMCR,Amcor plc,13.69B,0.21%,6289938,14.03B
68,FND,"Floor & Decor Holdings, Inc.",12.85B,0.79%,783557,4.41B
69,KMX,"CarMax, Inc.",12.81B,1.08%,1082909,26.63B
70,NIO,NIO Inc.,12.69B,1.48%,37142897,7.84B
71,IP,International Paper Company,12.68B,-1.34%,1647133,18.92B
