,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,488.48B,-,14948052,648.13B
1,PG,The Procter & Gamble Company,380.13B,0.24%,3152212,83.93B
2,COST,Costco Wholesale Corporation,316.73B,3.19%,3558777,248.83B
3,KO,The Coca-Cola Company,259.78B,0.43%,9622103,45.75B
4,PEP,"PepsiCo, Inc.",226.41B,-0.12%,5875853,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",219.81B,0.09%,568941,34.56B
6,PM,Philip Morris International Inc.,146.57B,0.28%,3582617,35.17B
7,BUD,Anheuser-Busch InBev SA/NV,125.23B,0.32%,771956,59.38B
8,UL,Unilever PLC,123.66B,0.59%,3096009,66.90B
9,MDLZ,"Mondelez International, Inc.",97.49B,-0.91%,5492507,36.02B
10,DEO,Diageo plc,83.77B,-0.53%,458743,21.66B
11,TGT,Target Corporation,78.36B,-0.30%,1907570,107.41B
12,MO,"Altria Group, Inc.",75.26B,0.87%,12766177,24.48B
13,CL,Colgate-Palmolive Company,72.54B,0.71%,2924068,19.46B
14,BTI,British American Tobacco p.l.c.,67.18B,1.53%,5821952,34.54B
15,MNST,Monster Beverage Corporation,61.96B,1.12%,3706062,7.14B
16,EL,The Estée Lauder Companies Inc.,53.59B,-1.20%,1844322,15.16B
17,STZ,"Constellation Brands, Inc.",47.90B,-0.05%,876127,9.82B
18,KMB,Kimberly-Clark Corporation,42.71B,-0.06%,1234812,20.43B
19,KHC,The Kraft Heinz Company,42.43B,-1.09%,6826478,26.64B
20,HSY,The Hershey Company,40.59B,-1.28%,1957488,11.16B
21,ABEV,Ambev S.A.,40.08B,0.39%,14785807,16.37B
22,SYY,Sysco Corporation,39.99B,0.14%,1482897,77.51B
23,KR,The Kroger Co.,39.98B,0.58%,5800559,150.04B
24,KDP,Keurig Dr Pepper Inc.,39.63B,-0.03%,6877209,14.81B
25,KVUE,Kenvue Inc.,38.58B,-0.05%,10255316,15.44B
26,GIS,"General Mills, Inc.",37.29B,0.09%,3080304,20.20B
27,DG,Dollar General Corporation,34.97B,1.19%,2806939,39.04B
28,CCEP,Coca-Cola Europacific Partners PLC,32.86B,-0.06%,1094660,20.34B
29,DLTR,"Dollar Tree, Inc.",32.46B,0.46%,3173000,29.68B
30,ADM,Archer-Daniels-Midland Company,29.29B,3.93%,10911851,96.90B
31,BF.A,Brown-Forman Corporation,25.98B,-0.84%,46216,4.26B
32,CHD,"Church & Dwight Co., Inc.",25.32B,0.63%,702579,5.87B
33,KOF,"Coca-Cola FEMSA, SAB de CV",20.71B,1.90%,205300,597.02M
34,TSN,"Tyson Foods, Inc.",19.90B,-0.61%,1627287,52.94B
35,CELH,"Celsius Holdings, Inc.",19.86B,6.75%,4102516,1.32B
36,CLX,The Clorox Company,19.32B,0.96%,556329,7.31B
37,MKC.V,"McCormick & Company, Incorporated",18.83B,-1.07%,1050,6.66B
38,MKC,"McCormick & Company, Incorporated",18.75B,-1.33%,1468259,6.66B
39,HRL,Hormel Foods Corporation,18.73B,-0.09%,1581315,12.14B
40,K,Kellanova Co,18.51B,-0.55%,2547868,13.12B
41,EDU,New Oriental Education & Technology Group Inc.,14.85B,0.48%,1749016,3.58B
42,LW,"Lamb Weston Holdings, Inc.",14.73B,0.88%,1234333,6.35B
43,TAP,Molson Coors Beverage Company,14.01B,-0.58%,961201,11.70B
44,TAP.A,Molson Coors Beverage Company,13.72B,-,21,11.70B
45,CAG,"Conagra Brands, Inc.",13.64B,-0.32%,2182381,12.17B
46,BG,Bunge Limited,13.63B,-0.15%,1381019,59.54B
47,SJM,The J. M. Smucker Company,12.91B,0.94%,1179753,8.21B
48,USFD,US Foods Holding Corp.,12.90B,1.22%,904265,35.60B
49,CPB,Campbell Soup Company,12.82B,-,1767221,9.27B
50,ACI,"Albertsons Companies, Inc.",12.02B,0.43%,1438134,79.16B
51,PFGC,Performance Food Group Company,11.73B,0.33%,860414,57.87B
52,COTY,Coty Inc.,11.40B,-0.55%,1632340,6.01B
53,ELF,"e.l.f. Beauty, Inc.",10.78B,5.84%,1178365,890.15M
54,BJ,"BJ's Wholesale Club Holdings, Inc.",9.91B,-1.62%,1437155,19.54B
55,TAL,TAL Education Group,7.98B,3.04%,7201338,1.33B
56,PPC,Pilgrim's Pride Corporation,7.78B,1.58%,1370625,17.36B
57,COKE,"Coca-Cola Consolidated, Inc.",7.74B,-0.62%,35366,6.65B
58,INGR,Ingredion Incorporated,7.71B,0.26%,334318,8.16B
59,BRBR,"BellRing Brands, Inc.",7.59B,2.68%,676471,1.73B
60,DAR,Darling Ingredients Inc.,6.96B,0.46%,1025038,6.79B
61,SFM,"Sprouts Farmers Market, Inc.",6.33B,0.27%,979492,6.84B
