,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,432.57B,-0.64%,12852605,344.58B
1,CVX,Chevron Corporation,282.31B,-0.07%,4921318,200.95B
2,SHEL,Shell plc,206.58B,0.34%,3363432,386.20B
3,TTE,TotalEnergies SE,153.12B,0.26%,722420,218.95B
4,COP,Conoco Phillips,135.58B,-0.20%,5649786,58.57B
5,BP,BP p.l.c.,103.04B,0.44%,5408895,213.03B
6,PBR.A,Petróleo Brasileiro S.A. - Petrobras,99.53B,3.28%,10820030,124.47B
7,PBR,Petróleo Brasileiro S.A. - Petrobras,99.42B,3.30%,28922919,124.47B
8,CNQ,Canadian Natural Resources Limited,77.25B,-0.11%,1266996,27.04B
9,ENB,Enbridge Inc.,76.78B,0.19%,3312855,32.82B
10,EQNR,Equinor ASA,75.93B,-0.66%,3843272,150.81B
11,SLB,Schlumberger Limited,73.81B,0.08%,6187232,33.14B
12,EOG,"EOG Resources, Inc.",70.08B,0.02%,4066949,24.19B
13,MPC,Marathon Petroleum Corporation,65.55B,-0.12%,2432503,150.31B
14,PSX,Phillips 66,63.96B,0.59%,2003946,149.89B
15,EPD,Enterprise Products Partners L.P.,61.48B,1.10%,4200810,49.72B
16,PXD,Pioneer Natural Resources Company,57.15B,-0.51%,1099287,19.36B
17,OXY,Occidental Petroleum Corporation,54.11B,-0.62%,6454329,28.92B
18,E,Eni S.p.A.,50.78B,0.06%,135586,142.22B
19,ET,Energy Transfer LP,50.55B,-,9319429,78.59B
20,VLO,Valero Energy Corporation,50.05B,0.13%,2940178,144.77B
21,HES,Hess Corporation,45.14B,-0.22%,1450999,10.65B
22,OKE,"ONEOK, Inc.",45.07B,0.47%,1452105,17.68B
23,SU,Suncor Energy Inc.,44.75B,0.75%,4934869,38.15B
24,WMB,"The Williams Companies, Inc.",44.58B,0.25%,4730260,10.91B
25,TRP,TC Energy Corporation,42.16B,0.15%,2537034,11.98B
26,MPLX,MPLX LP,41.14B,0.17%,1328121,11.28B
27,KMI,"Kinder Morgan, Inc.",39.88B,-0.17%,6583976,15.33B
28,WDS,Woodside Energy Group Ltd,37.03B,-1.54%,731105,13.99B
29,LNG,"Cheniere Energy, Inc.",36.71B,-0.01%,1691057,20.39B
30,IMO,Imperial Oil Limited,35.13B,0.81%,392403,38.32B
31,CVE,Cenovus Energy Inc.,33.14B,0.67%,8662275,39.25B
32,FANG,"Diamondback Energy, Inc.",32.92B,0.01%,1059236,8.41B
33,HAL,Halliburton Company,32.63B,0.25%,6065760,23.02B
34,BKR,Baker Hughes Company,31.55B,0.61%,7074890,25.51B
35,DVN,Devon Energy Corporation,29.64B,-0.19%,6825199,15.26B
36,CQP,"Cheniere Energy Partners, L.P.",23.70B,-0.84%,95132,11.70B
37,TRGP,Targa Resources Corp.,23.34B,0.91%,871372,16.06B
38,TS,Tenaris S.A.,21.88B,0.39%,1795704,14.87B
39,EC,Ecopetrol S.A.,21.52B,0.57%,1229331,32.91B
40,CTRA,Coterra Energy Inc.,19.89B,0.19%,5973207,5.91B
41,PBA,Pembina Pipeline Corporation,19.62B,-0.06%,719090,6.86B
42,CCJ,Cameco Corporation,17.70B,2.92%,3633848,1.95B
