,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,876.78B,0.05%,1817892,439.34B
1,V,Visa Inc.,576.29B,1.20%,5594257,33.35B
2,JPM,JPMorgan Chase & Co.,542.34B,0.82%,4164036,158.10B
3,MA,Mastercard Incorporated,437.68B,0.79%,1273262,25.10B
4,BAC,Bank of America Corporation,283.20B,0.20%,24020877,98.58B
5,WFC,Wells Fargo & Company,204.24B,0.91%,19649647,82.60B
6,AXP,American Express Company,159.39B,1.12%,1541343,55.59B
7,BX,Blackstone Inc.,151.90B,-0.71%,2885531,8.02B
8,HSBC,HSBC Holdings plc,144.69B,2.37%,2221660,66.06B
9,MS,Morgan Stanley,142.33B,0.13%,5101595,54.14B
10,RY,Royal Bank of Canada,141.43B,0.57%,551193,40.69B
11,HDB,HDFC Bank Limited,141.24B,1.97%,3312684,13.76B
12,SPGI,S&P Global Inc.,134.03B,0.45%,580602,12.50B
13,MUFG,"Mitsubishi UFJ Financial Group, Inc.",126.02B,-0.47%,2561834,30.79B
14,GS,"The Goldman Sachs Group, Inc.",125.99B,0.52%,1660299,46.25B
15,BLK,"BlackRock, Inc.",122.90B,0.54%,295447,17.86B
16,SCHW,The Charles Schwab Corporation,122.14B,-0.67%,7910618,18.84B
17,PGR,The Progressive Corporation,115.23B,1.12%,1514860,62.11B
18,C,Citigroup Inc.,109.73B,0.07%,9386710,78.46B
19,TD,The Toronto-Dominion Bank,107.19B,-0.12%,1305420,36.86B
20,CB,Chubb Limited,103.47B,1.08%,1309116,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",101.53B,0.67%,1079395,22.74B
22,UBS,UBS Group AG,100.21B,1.97%,3129562,37.16B
23,IBN,ICICI Bank Limited,92.06B,0.19%,2465451,22.65B
24,KKR,KKR & Co. Inc.,86.77B,1.84%,1495732,14.50B
25,ICE,"Intercontinental Exchange, Inc.",79.04B,0.01%,1520608,9.90B
26,CME,CME Group Inc.,78.04B,0.45%,1136507,5.58B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",77.91B,-0.84%,1473508,28.63B
28,MCO,Moody's Corporation,70.34B,1.06%,264596,5.92B
29,SAN,"Banco Santander, S.A.",69.88B,2.09%,2266549,62.88B
30,BMO,Bank of Montreal,68.50B,0.11%,273615,24.15B
31,USB,U.S. Bancorp,67.84B,-0.71%,5888300,25.74B
32,ITUB,Itaú Unibanco Holding S.A.,67.56B,1.17%,11261483,21.85B
33,BN,Brookfield Corporation,65.89B,0.24%,1023028,95.62B
34,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",65.23B,2.95%,1290421,35.77B
35,PYPL,"PayPal Holdings, Inc.",64.28B,-0.08%,12402168,29.77B
36,AON,Aon plc,63.05B,0.82%,533025,13.38B
37,APO,"Apollo Global Management, Inc.",62.38B,1.08%,1512520,32.64B
38,BNS,The Bank of Nova Scotia,61.19B,0.12%,1312361,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",60.80B,-1.22%,1498036,21.49B
40,NU,Nu Holdings Ltd.,55.05B,-1.21%,40006638,8.03B
41,AJG,Arthur J. Gallagher & Co.,54.79B,0.83%,634619,10.07B
42,COF,Capital One Financial Corporation,52.67B,1.31%,2236108,26.36B
43,MET,"MetLife, Inc.",51.85B,-0.03%,1601136,66.91B
44,MFG,"Mizuho Financial Group, Inc.",51.56B,-1.71%,1067573,15.13B
45,AIG,"American International Group, Inc.",51.01B,1.31%,3211202,46.80B
46,TRV,"The Travelers Companies, Inc.",50.18B,0.66%,738797,41.36B
47,TFC,Truist Financial Corporation,49.69B,-0.81%,7532432,21.28B
48,ING,ING Groep N.V.,49.47B,2.52%,4408517,24.62B
49,AFL,Aflac Incorporated,47.99B,-0.28%,1795383,18.70B
50,CM,Canadian Imperial Bank of Commerce,46.48B,0.02%,946182,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",44.90B,1.27%,942728,4.34B
52,MSCI,MSCI Inc.,44.63B,0.27%,316363,2.53B
53,MFC,Manulife Financial Corporation,43.00B,0.42%,1547225,25.32B
54,BSBR,Banco Santander (Brasil) S.A.,42.66B,0.17%,375395,65.86B
55,ALL,The Allstate Corporation,42.07B,-0.21%,1323842,57.09B
56,BK,The Bank of New York Mellon Corporation,41.87B,-0.88%,2659193,17.50B
57,AMP,"Ameriprise Financial, Inc.",41.29B,0.32%,222682,15.54B
58,ARES,Ares Management Corporation,41.17B,1.09%,690259,3.63B
59,PRU,"Prudential Financial, Inc.",40.06B,0.20%,1083382,53.98B
60,LYG,Lloyds Banking Group plc,39.97B,0.40%,10435586,61.65B
61,NDAQ,"Nasdaq, Inc.",34.53B,-0.48%,3480597,6.06B
62,BCS,Barclays PLC,34.42B,1.21%,14450465,32.12B
63,ACGL,Arch Capital Group Ltd.,33.79B,0.68%,1829319,13.63B
64,SLF,Sun Life Financial Inc.,32.24B,-0.18%,218402,23.18B
65,DFS,Discover Financial Services,30.55B,2.32%,1601080,9.84B
66,BBD,Banco Bradesco S.A.,30.17B,1.42%,20628648,15.48B
67,NWG,NatWest Group plc,29.19B,1.22%,1479695,14.75B
68,HIG,"The Hartford Financial Services Group, Inc.",29.17B,0.86%,1249408,24.53B
69,PUK,Prudential plc,28.19B,2.19%,630986,10.20B
70,DB,Deutsche Bank Aktiengesellschaft,28.06B,4.13%,6023453,27.49B
71,WTW,Willis Towers Watson PLC,27.87B,1.11%,618220,9.48B
72,SYM,Symbotic Inc.,26.50B,3.15%,1314321,1.34B
73,TROW,"T. Rowe Price Group, Inc.",26.31B,0.18%,1076445,6.46B
74,RJF,"Raymond James Financial, Inc.",25.13B,0.10%,765119,11.85B
75,FITB,Fifth Third Bancorp,25.10B,-0.08%,6346659,8.19B
76,OWL,Blue Owl Capital Inc.,24.85B,0.58%,2583339,1.73B
77,RKT,"Rocket Companies, Inc.",24.52B,-0.41%,1671470,3.80B
78,IX,ORIX Corporation,24.41B,1.38%,16649,19.11B
79,BRO,"Brown & Brown, Inc.",24.35B,1.20%,653757,4.26B
80,MTB,M&T Bank Corporation,23.80B,0.29%,681912,9.00B
81,TW,Tradeweb Markets Inc.,22.48B,0.83%,744830,1.34B
82,STT,State Street Corporation,22.18B,-1.27%,1159951,11.95B
83,WRB,W. R. Berkley Corporation,21.79B,0.81%,875563,12.14B
84,ERIE,Erie Indemnity Company,21.73B,1.41%,66744,3.27B
85,FCNCO,"First Citizens BancShares, Inc.",21.72B,0.92%,36524,17.41B
86,FCNCA,"First Citizens BancShares, Inc.",21.71B,2.86%,78509,17.41B
87,KB,KB Financial Group Inc.,20.14B,3.37%,268584,3.19B
88,LPLA,LPL Financial Holdings Inc.,19.85B,0.44%,430000,10.05B
89,CBOE,"Cboe Global Markets, Inc.",19.71B,-1.10%,932956,3.77B
90,MKL,Markel Corporation,19.68B,-0.15%,27072,15.80B
