,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,724.16B,2.80%,2224311,34.12B
1,NVO,Novo Nordisk A/S,601.34B,2.95%,5808331,34.41B
2,UNH,UnitedHealth Group Incorporated,450.15B,0.04%,2816027,371.62B
3,JNJ,Johnson & Johnson,388.37B,0.94%,8010329,85.16B
4,ABBV,AbbVie Inc.,322.27B,0.72%,4427485,54.32B
5,MRK,"Merck & Co., Inc.",310.93B,-0.09%,9398432,60.12B
6,TMO,Thermo Fisher Scientific Inc.,228.57B,-0.36%,982150,42.86B
7,AZN,AstraZeneca PLC,209.37B,-0.40%,5514894,45.81B
8,ABT,Abbott Laboratories,208.55B,0.47%,3078486,40.11B
9,NVS,Novartis AG,206.63B,-1.58%,1488624,46.66B
10,DHR,Danaher Corporation,187.00B,0.12%,1602983,23.89B
11,PFE,Pfizer Inc.,157.38B,-1.27%,43341363,58.50B
12,AMGN,Amgen Inc.,147.57B,0.43%,1733203,28.19B
13,SYK,Stryker Corporation,135.22B,0.79%,535498,20.50B
14,ISRG,"Intuitive Surgical, Inc.",134.30B,2.77%,1436383,7.12B
15,SNY,Sanofi,120.84B,0.23%,740732,51.60B
16,ELV,Elevance Health Inc.,118.14B,-0.24%,515506,171.34B
17,MDT,Medtronic plc,113.53B,0.28%,4559595,32.32B
18,BMY,Bristol-Myers Squibb Company,109.93B,0.07%,10309440,45.01B
19,VRTX,Vertex Pharmaceuticals Incorporated,107.06B,-0.49%,864632,9.87B
20,REGN,"Regeneron Pharmaceuticals, Inc.",106.67B,0.64%,357316,13.12B
21,CI,Cigna Corporation,100.70B,0.49%,896027,195.27B
22,BSX,Boston Scientific Corporation,97.00B,2.07%,5700388,14.24B
23,CVS,CVS Health Corporation,95.57B,-0.96%,3574582,357.78B
24,GILD,"Gilead Sciences, Inc.",93.83B,-0.32%,5256527,27.12B
25,GSK,GSK plc,87.59B,0.82%,1913751,38.39B
26,HCA,"HCA Healthcare, Inc.",84.97B,0.72%,864282,64.97B
27,ZTS,Zoetis Inc.,84.01B,-1.17%,2265116,8.54B
28,MCK,McKesson Corporation,69.21B,0.87%,443565,301.51B
29,BDX,"Becton, Dickinson and Company",69.19B,-0.70%,1219822,19.49B
30,EW,Edwards Lifesciences Corporation,55.40B,0.09%,1956431,6.00B
31,DXCM,"DexCom, Inc.",52.14B,1.76%,3336647,3.62B
32,IQV,IQVIA Holdings Inc.,47.07B,0.20%,710656,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,46.11B,-1.37%,1966760,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",45.56B,-0.27%,360475,3.66B
35,ALC,Alcon Inc.,43.58B,-0.02%,695496,9.46B
36,A,"Agilent Technologies, Inc.",43.33B,0.37%,913009,6.74B
37,MRNA,"Moderna, Inc.",42.78B,-1.38%,4168377,6.85B
38,GEHC,GE HealthCare Technologies Inc.,42.19B,-1.27%,2736361,19.55B
39,HUM,Humana Inc.,41.83B,-0.53%,1315470,106.37B
40,CNC,Centene Corporation,41.79B,-1.64%,3363059,154.00B
41,HLN,Haleon plc,39.52B,1.17%,2673441,14.31B
42,COR,Cencora,38.52B,-0.10%,504926,271.58B
43,VEEV,Veeva Systems Inc.,36.67B,1.45%,631414,2.36B
44,BIIB,Biogen Inc.,33.44B,-1.18%,1056419,9.84B
45,CAH,"Cardinal Health, Inc.",28.09B,0.12%,1242173,216.15B
