,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,181.27B,0.54%,4748951,67.95B
1,CAT,Caterpillar Inc.,167.28B,0.68%,1361731,67.06B
2,UNP,Union Pacific Corporation,153.03B,0.52%,1107628,24.12B
3,UPS,"United Parcel Service, Inc.",131.95B,1.70%,3014856,90.96B
4,HON,Honeywell International Inc.,130.92B,-0.58%,2841975,36.66B
5,RTX,RTX Corp,119.84B,-1.59%,6244824,68.92B
6,BA,The Boeing Company,117.44B,-4.29%,17989020,77.79B
7,ETN,Eaton Corporation plc,116.93B,1.72%,1552700,23.20B
8,LMT,Lockheed Martin Corporation,105.05B,0.04%,647567,67.57B
9,DE,Deere & Company,104.40B,-0.64%,810108,60.79B
10,ADP,"Automatic Data Processing, Inc.",100.27B,0.24%,1884273,18.59B
11,WM,"Waste Management, Inc.",84.04B,0.24%,850738,20.43B
12,CP,Canadian Pacific Railway Limited,83.59B,1.06%,1314622,9.44B
13,CNI,Canadian National Railway Company,82.53B,0.92%,569083,12.65B
14,ITW,Illinois Tool Works Inc.,78.59B,0.42%,830606,16.11B
15,GD,General Dynamics Corporation,74.87B,0.50%,844966,42.27B
16,CSX,CSX Corporation,74.53B,-0.58%,9545840,14.66B
17,TRI,Thomson Reuters Corporation,71.45B,0.13%,206290,6.79B
18,NOC,Northrop Grumman Corporation,68.90B,-0.09%,1027517,39.29B
19,PH,Parker-Hannifin Corporation,68.83B,0.42%,426360,19.83B
20,TT,Trane Technologies plc,64.24B,1.69%,678034,17.68B
21,FDX,FedEx Corporation,64.21B,0.60%,1661903,87.95B
22,TDG,TransDigm Group Incorporated,64.04B,2.73%,179228,6.98B
23,CTAS,Cintas Corporation,63.39B,0.36%,235040,9.19B
24,EMR,Emerson Electric Co.,62.69B,0.87%,1753261,15.91B
25,PCAR,PACCAR Inc,59.74B,0.66%,1756103,35.13B
26,ROP,"Roper Technologies, Inc.",59.28B,0.24%,449355,6.18B
27,NSC,Norfolk Southern Corporation,58.34B,0.98%,644924,12.16B
28,RSG,"Republic Services, Inc.",57.97B,0.63%,974283,14.96B
29,MMM,3M Company,51.98B,4.97%,12718786,32.68B
30,CARR,Carrier Global Corporation,51.89B,1.33%,3392249,22.10B
31,GWW,"W.W. Grainger, Inc.",47.71B,0.88%,130903,16.48B
32,ODFL,"Old Dominion Freight Line, Inc.",47.11B,1.88%,427477,5.87B
33,URI,"United Rentals, Inc.",44.64B,1.68%,330833,14.33B
34,PAYX,"Paychex, Inc.",43.77B,0.83%,1473361,5.15B
35,FAST,Fastenal Company,43.29B,1.26%,2382543,7.35B
36,WCN,"Waste Connections, Inc.",43.24B,0.57%,613783,8.02B
37,AME,"AMETEK, Inc.",41.92B,0.54%,461795,6.60B
38,JCI,Johnson Controls International plc,41.71B,1.27%,3205703,26.82B
39,LHX,"L3Harris Technologies, Inc.",40.80B,-0.47%,750611,19.42B
40,FERG,Ferguson plc,40.33B,2.44%,1346462,29.36B
41,OTIS,Otis Worldwide Corporation,39.38B,1.18%,1082363,14.21B
42,CMI,Cummins Inc.,38.50B,-0.14%,8405376,34.07B
43,IR,Ingersoll Rand Inc.,35.94B,1.50%,1743515,6.88B
44,PWR,"Quanta Services, Inc.",34.85B,1.10%,601659,20.88B
45,VRSK,"Verisk Analytics, Inc.",34.05B,0.25%,608100,2.68B
46,GPN,Global Payments Inc.,33.61B,2.19%,2867966,9.65B
47,ROK,"Rockwell Automation, Inc.",32.63B,-0.32%,802186,9.13B
48,EFX,Equifax Inc.,32.62B,1.92%,383969,5.27B
49,RYAAY,Ryanair Holdings plc,31.83B,-1.85%,401232,11.71B
50,XYL,Xylem Inc.,30.51B,1.81%,792433,7.36B
51,DAL,"Delta Air Lines, Inc.",27.46B,0.19%,13151769,58.05B
52,HWM,Howmet Aerospace Inc.,26.67B,1.65%,5192744,6.64B
53,VRT,Vertiv Holdings Co,26.60B,7.94%,6932712,6.86B
54,WAB,Westinghouse Air Brake Technologies Corporation,25.10B,1.48%,938419,9.68B
55,DOV,Dover Corporation,24.06B,2.53%,1147236,8.44B
56,BLDR,"Builders FirstSource, Inc.",23.50B,3.61%,1046769,17.10B
57,AXON,"Axon Enterprise, Inc.",23.38B,0.14%,390628,1.56B
58,HEI.A,HEICO Corporation,22.59B,0.89%,146218,3.24B
59,HEI,HEICO Corporation,22.40B,0.74%,913666,3.24B
60,JBHT,"J.B. Hunt Transport Services, Inc.",20.72B,0.35%,305157,12.83B
61,HUBB,Hubbell Incorporated,20.59B,2.45%,538106,5.37B
62,LUV,Southwest Airlines Co.,20.44B,-14.86%,39750451,26.09B
63,BAH,Booz Allen Hamilton Holding Corporation,19.09B,0.73%,416389,10.32B
64,VLTO,Veralto Corporation,18.96B,-0.37%,1076143,5.02B
65,J,Jacobs Engineering Group Inc.,18.50B,0.90%,267685,16.71B
66,IEX,IDEX Corporation,18.08B,0.71%,167110,3.27B
67,TXT,Textron Inc.,17.66B,-0.09%,568347,13.68B
68,AVY,Avery Dennison Corporation,17.39B,0.38%,259415,8.36B
69,EXPD,"Expeditors International of Washington, Inc.",17.37B,0.65%,1035684,9.30B
70,CSL,Carlisle Companies Incorporated,17.05B,1.28%,216433,4.59B
71,MAS,Masco Corporation,16.90B,0.53%,1986105,7.97B
