,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,226.09B,0.42%,3193102,32.85B
1,BHP,BHP Group Limited,143.64B,-0.23%,2767873,55.34B
2,RIO,Rio Tinto Group,102.45B,1.16%,3909807,54.04B
3,SHW,The Sherwin-Williams Company,86.49B,0.68%,803283,23.05B
4,SCCO,Southern Copper Corporation,66.76B,1.21%,776535,9.90B
5,ECL,Ecolab Inc.,63.93B,-0.15%,844130,15.32B
6,CRH,CRH plc,58.29B,1.93%,4017413,34.95B
7,FCX,Freeport-McMoRan Inc.,57.98B,-0.15%,7581840,22.86B
8,VALE,Vale S.A.,56.24B,-0.55%,56946486,43.84B
9,APD,"Air Products and Chemicals, Inc.",55.12B,-1.24%,1158685,12.42B
10,NUE,Nucor Corporation,43.76B,-1.04%,1073191,34.71B
11,DOW,Dow Inc.,40.80B,0.44%,3384266,44.62B
12,NEM,Newmont Corporation,40.62B,-3.86%,12202758,11.81B
13,CTVA,"Corteva, Inc.",38.66B,0.04%,2253932,17.23B
14,MLM,"Martin Marietta Materials, Inc.",36.90B,1.25%,261513,6.78B
15,VMC,Vulcan Materials Company,35.26B,1.75%,494819,7.78B
16,PPG,"PPG Industries, Inc.",33.54B,-0.84%,1341281,18.25B
17,LYB,LyondellBasell Industries N.V.,32.67B,-0.13%,1749210,41.11B
18,DD,"DuPont de Nemours, Inc.",30.13B,-0.15%,1890121,12.07B
19,GOLD,Barrick Gold Corporation,27.87B,-1.45%,18819202,11.40B
20,AEM,Agnico Eagle Mines Limited,26.96B,-0.56%,3432219,6.63B
21,NTR,Nutrien Ltd.,26.33B,-0.47%,2711635,29.06B
22,PKX,POSCO Holdings Inc.,25.21B,2.73%,76940,59.55B
23,FNV,Franco-Nevada Corporation,21.86B,-0.33%,2005347,1.22B
24,TECK,Teck Resources Limited,21.63B,1.73%,2440631,11.29B
25,MT,ArcelorMittal S.A.,21.20B,3.44%,2204736,68.28B
26,IFF,International Flavors & Fragrances Inc.,20.70B,0.17%,1184453,11.48B
27,STLD,"Steel Dynamics, Inc.",20.55B,1.09%,903144,18.80B
28,WPM,Wheaton Precious Metals Corp.,20.22B,-0.67%,1843456,938.63M
29,RS,Reliance Steel & Aluminum Co.,18.26B,1.02%,129292,14.81B
30,WLK,Westlake Corporation,18.18B,-0.27%,250995,12.55B
31,JHX,James Hardie Industries plc,17.48B,-2.09%,47113,3.85B
32,CE,Celanese Corporation,17.15B,-0.55%,352795,10.94B
33,AVTR,"Avantor, Inc.",17.14B,1.15%,2659024,6.97B
34,CF,"CF Industries Holdings, Inc.",15.97B,0.40%,1855015,6.63B
35,SUZ,Suzano S.A.,15.38B,1.19%,836159,8.16B
36,RPM,RPM International Inc.,15.15B,0.59%,386481,7.34B
37,ALB,Albemarle Corporation,14.66B,-0.66%,3160792,9.62B
38,SQM,Sociedad Química y Minera de Chile S.A.,14.15B,1.92%,1425703,10.71B
39,GFI,Gold Fields Limited,14.15B,-5.19%,6427440,4.29B
40,CX,"CEMEX, SAB de CV",11.71B,-0.49%,4630603,15.58B
41,EMN,Eastman Chemical Company,10.76B,0.40%,762510,9.21B
42,X,United States Steel Corporation,10.54B,-0.55%,1179043,18.05B
43,CLF,Cleveland-Cliffs Inc.,10.23B,-0.29%,5046399,22.00B
44,MOS,The Mosaic Company,10.18B,-0.92%,2798373,13.70B
45,AU,AngloGold Ashanti Limited,9.64B,-2.98%,2138199,4.50B
46,EXP,Eagle Materials Inc.,8.67B,1.13%,255775,2.25B
47,FMC,FMC Corporation,8.00B,-0.48%,1249470,4.49B
48,TX,Ternium S.A.,7.96B,0.52%,69336,17.63B
49,GGB,Gerdau S.A.,7.57B,0.94%,8315624,15.58B
50,RGLD,"Royal Gold, Inc.",7.55B,-2.50%,338418,605.72M
51,AXTA,Axalta Coating Systems Ltd.,7.37B,1.32%,1753535,5.18B
52,SUM,"Summit Materials, Inc.",7.36B,0.02%,1338322,2.62B
53,UFPI,"UFP Industries, Inc.",6.98B,0.11%,257529,7.22B
54,KGC,Kinross Gold Corporation,6.85B,-1.79%,15423022,4.24B
55,WFG,West Fraser Timber Co. Ltd.,6.82B,-2.40%,96793,6.45B
56,OLN,Olin Corporation,6.81B,-0.46%,915549,6.83B
57,ICL,ICL Group Ltd,6.46B,-2.91%,977976,7.54B
58,CMC,Commercial Metals Company,6.30B,0.67%,516066,8.58B
59,NEU,NewMarket Corporation,5.92B,-0.68%,41268,2.70B
60,ESI,Element Solutions Inc,5.80B,0.54%,642356,2.33B
61,AA,Alcoa Corporation,5.47B,-2.30%,5337777,10.55B
62,AGI,Alamos Gold Inc.,5.46B,-0.87%,1973385,1.02B
63,ALTM,Arcadium Lithium plc,5.20B,-2.04%,11901953,882.50M
64,BCC,Boise Cascade Company,5.07B,0.41%,200658,6.84B
65,BCPC,Balchem Corporation,5.00B,-0.29%,69533,922.44M
66,PAAS,Pan American Silver Corp.,5.00B,-0.64%,2898044,2.32B
67,SIM,"Grupo Simec, SAB de CV",4.92B,-,14,2.78B
68,CBT,Cabot Corporation,4.89B,-0.20%,233061,3.92B
69,SSL,Sasol Limited,4.87B,-0.13%,446423,15.57B
70,ASH,Ashland Inc.,4.84B,-0.87%,228920,2.14B
71,HMY,Harmony Gold Mining Company Limited,4.78B,-2.14%,10610681,169.22M
72,HUN,Huntsman Corporation,4.51B,-0.54%,1288770,6.11B
73,AMR,"Alpha Metallurgical Resources, Inc.",4.47B,-6.94%,529202,3.47B
74,SID,Companhia Siderúrgica Nacional,4.45B,0.94%,3608841,8.39B
75,FUL,H.B. Fuller Company,4.32B,-0.45%,172387,3.51B
76,KNF,Knife River Corporation,4.30B,0.62%,258913,2.83B
77,BVN,Compania de Minas Buenaventura S.A.,4.29B,0.42%,1282352,824.80M
78,CC,The Chemours Company,3.86B,-0.08%,1105061,6.00B
79,SMG,The Scotts Miracle-Gro Company,3.86B,-0.37%,465905,3.44B
80,AVNT,Avient Corporation,3.76B,-1.20%,286401,3.14B
81,STR,Sitio Royalties Corp.,3.71B,0.72%,491232,593.36M
82,KWR,Quaker Chemical Corporation,3.62B,-0.73%,96481,1.95B
83,BTG,B2Gold Corp.,3.49B,-3.73%,14143947,1.93B
84,BAK,Braskem S.A.,3.45B,0.12%,484172,18.25B
85,WDFC,WD-40 Company,3.40B,1.25%,119121,552.78M
86,SBSW,Sibanye Stillwater Limited,3.15B,-2.19%,3755624,8.13B
87,IOSP,Innospec Inc.,3.14B,-0.84%,63311,1.95B
88,OR,Osisko Gold Royalties Ltd,3.00B,-0.31%,1086204,185.95M
89,CSTM,Constellium SE,2.96B,-0.15%,280225,8.04B
90,HCC,"Warrior Met Coal, Inc.",2.94B,-3.84%,1111061,1.68B
91,SXT,Sensient Technologies Corporation,2.93B,0.14%,78418,1.46B
92,MEOH,Methanex Corporation,2.87B,0.24%,127767,3.72B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,-1.39%,333236,204.02M
94,MTRN,Materion Corporation,2.72B,-0.46%,87268,1.67B
95,HL,Hecla Mining Company,2.69B,-1.86%,5536655,720.23M
96,SLVM,Sylvamo Corporation,2.59B,-0.65%,257601,3.72B
97,MP,MP Materials Corp.,2.56B,-3.46%,4133583,253.45M
98,EGO,Eldorado Gold Corporation,2.50B,0.73%,993740,1.01B
99,TROX,Tronox Holdings plc,2.49B,0.82%,804260,2.85B
100,MTX,Minerals Technologies Inc.,2.36B,-0.82%,76091,2.17B
101,HBM,Hudbay Minerals Inc.,2.23B,0.63%,1926692,1.69B
102,TGLS,Tecnoglass Inc.,2.10B,0.78%,269929,833.27M
103,SCL,Stepan Company,1.99B,-2.47%,76965,2.33B
104,ERO,Ero Copper Corp.,1.74B,0.77%,245699,427.48M
105,NGVT,Ingevity Corporation,1.69B,-1.35%,121361,1.69B
106,USLM,"United States Lime & Minerals, Inc.",1.65B,1.29%,17325,281.33M
107,SGML,Sigma Lithium Corporation,1.60B,-0.75%,623299,129.93M
108,IAG,IAMGOLD Corporation,1.58B,-3.44%,10126358,987.10M
109,AG,First Majestic Silver Corp.,1.56B,-1.10%,7526910,573.80M
110,EQX,Equinox Gold Corp.,1.55B,-2.85%,3420369,1.09B
111,HWKN,"Hawkins, Inc.",1.50B,0.93%,143523,924.29M
112,SAND,Sandstorm Gold Ltd.,1.43B,-0.84%,1698829,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,1.36%,140287,-
114,GPRE,Green Plains Inc.,1.34B,-2.39%,613558,3.30B
115,OEC,Orion Engineered Carbons S.A.,1.32B,1.21%,277016,1.89B
