,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",124.05B,0.34%,1241280,8.02B
1,AMT,American Tower Corporation,96.68B,-1.24%,1741829,11.14B
2,EQIX,"Equinix, Inc.",84.55B,-0.08%,382961,8.19B
3,SPG,"Simon Property Group, Inc.",56.15B,0.53%,958382,5.66B
4,WELL,Welltower Inc.,52.73B,0.17%,1306204,6.64B
5,PSA,Public Storage,51.39B,0.65%,469376,4.52B
6,CCI,Crown Castle Inc.,49.03B,-1.15%,1224893,6.98B
7,DLR,"Digital Realty Trust, Inc.",46.38B,0.50%,1494292,5.48B
8,O,Realty Income Corporation,45.72B,-0.40%,6868710,4.08B
9,CSGP,"CoStar Group, Inc.",35.45B,0.37%,1471394,2.46B
10,EXR,Extra Space Storage Inc.,32.69B,0.80%,901992,2.56B
11,VICI,VICI Properties Inc.,30.92B,-0.34%,3019255,3.61B
12,CBRE,"CBRE Group, Inc.",28.57B,0.31%,1163186,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.23B,-0.47%,578854,2.77B
14,WY,Weyerhaeuser Company,25.28B,-1.71%,2578206,7.67B
15,SBAC,SBA Communications Corporation,24.19B,-1.51%,940852,2.71B
16,EQR,Equity Residential,24.07B,-0.84%,1042312,2.87B
17,IRM,Iron Mountain Incorporated,23.78B,0.22%,695159,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",22.16B,-0.73%,538576,2.89B
19,INVH,Invitation Homes Inc.,21.58B,0.26%,2989125,2.43B
20,KSPI,Joint Stock Company Kaspi.kz,20.83B,4.45%,332486,4.27B
21,VTR,"Ventas, Inc.",17.92B,-2.02%,2160143,4.50B
22,BEKE,KE Holdings Inc.,17.92B,10.86%,25655938,10.22B
23,SUI,"Sun Communities, Inc.",17.30B,0.45%,872873,3.22B
24,ESS,"Essex Property Trust, Inc.",16.31B,-0.96%,292632,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",16.24B,-1.93%,575470,2.15B
26,AMH,American Homes 4 Rent,15.34B,0.55%,1441883,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.90B,0.34%,3279322,5.31B
28,UDR,"UDR, Inc.",13.45B,-2.01%,2863712,1.63B
29,KIM,Kimco Realty Corporation,13.06B,-0.31%,3264261,1.78B
30,ELS,"Equity LifeStyle Properties, Inc.",12.90B,-0.54%,524771,1.49B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.60B,0.69%,1495098,1.44B
32,WPC,W. P. Carey Inc.,12.50B,-1.75%,1151943,1.74B
33,DOC,"Healthpeak Properties, Inc.",12.32B,-1.25%,4263494,2.18B
34,LAMR,Lamar Advertising Company,12.06B,0.45%,359911,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.67B,0.30%,995134,797.83M
36,REG,Regency Centers Corporation,11.50B,-0.93%,1348281,1.32B
37,CPT,Camden Property Trust,10.69B,-1.79%,846169,1.56B
38,CUBE,CubeSmart,10.31B,-0.15%,820217,1.05B
39,BXP,"Boston Properties, Inc.",10.06B,-0.38%,454140,3.27B
40,NLY,"Annaly Capital Management, Inc.",9.91B,-0.20%,2340541,-1.44B
41,JLL,Jones Lang LaSalle Incorporated,8.89B,-0.71%,199080,20.76B
42,EGP,"EastGroup Properties, Inc.",8.64B,0.41%,220472,570.59M
43,FRT,Federal Realty Investment Trust,8.59B,-0.53%,573012,1.13B
44,OHI,"Omega Healthcare Investors, Inc.",7.80B,0.45%,870513,949.74M
45,NNN,NNN REIT Inc,7.74B,-0.42%,1352968,828.11M
46,FSV,FirstService Corporation,7.49B,1.23%,65845,4.33B
47,COLD,"Americold Realty Trust, Inc.",7.49B,-1.48%,2945773,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.19B,0.34%,475288,614.03M
49,STAG,"STAG Industrial, Inc.",7.03B,-0.47%,1052064,707.84M
50,RHP,"Ryman Hospitality Properties, Inc.",6.94B,-0.20%,359609,2.16B
51,BRX,Brixmor Property Group Inc.,6.89B,-0.44%,1580660,1.25B
52,AGNC,AGNC Investment Corp.,6.83B,0.20%,6785646,251.00M
53,STWD,"Starwood Property Trust, Inc.",6.61B,-,835755,2.05B
54,CIGI,Colliers International Group Inc.,5.97B,1.65%,149819,4.34B
55,ADC,Agree Realty Corporation,5.87B,-1.67%,906267,537.50M
56,TRNO,Terreno Realty Corporation,5.63B,0.26%,328300,323.59M
57,VNO,Vornado Realty Trust,5.33B,0.62%,1668083,1.81B
58,RYN,Rayonier Inc.,5.29B,-0.80%,586197,1.06B
59,RITM,Rithm Capital Corp.,5.28B,1.74%,2613427,3.69B
60,NSA,National Storage Affiliates Trust,5.18B,0.34%,577347,858.06M
61,HR,Healthcare Realty Trust Incorporated,5.17B,-0.44%,2878676,1.34B
62,PECO,"Phillips Edison & Company, Inc.",4.90B,-0.11%,449999,610.12M
63,KRG,Kite Realty Group Trust,4.74B,-0.14%,821907,823.00M
64,AIRC,Apartment Income REIT Corp.,4.65B,-0.96%,1417348,820.04M
65,KRC,Kilroy Realty Corporation,4.21B,-0.59%,663591,1.13B
66,EPRT,"Essential Properties Realty Trust, Inc.",4.20B,1.07%,4440054,359.60M
67,APLE,"Apple Hospitality REIT, Inc.",4.09B,-0.18%,1703932,1.34B
68,RLJ,RLJ Lodging Trust,3.80B,-,772885,1.33B
69,HHH,Howard Hughes Holdings Inc,3.79B,0.12%,89470,1.02B
70,PCH,PotlatchDeltic Corporation,3.75B,-1.99%,246726,1.02B
71,IRT,"Independence Realty Trust, Inc.",3.72B,-1.68%,1327895,660.98M
72,PK,Park Hotels & Resorts Inc.,3.62B,0.87%,1371667,2.70B
73,MAC,The Macerich Company,3.59B,-0.25%,1380044,884.07M
74,CUZ,Cousins Properties Incorporated,3.58B,-1.14%,1263656,802.87M
75,BXMT,"Blackstone Mortgage Trust, Inc.",3.53B,0.10%,850485,670.67M
76,SLG,SL Green Realty Corp.,3.28B,1.83%,957625,913.71M
77,SBRA,"Sabra Health Care REIT, Inc.",3.23B,1.15%,1643018,647.51M
78,EPR,EPR Properties,3.22B,0.89%,492924,705.67M
79,SKT,"Tanger Factory Outlet Centers, Inc.",3.18B,0.14%,455988,464.41M
80,CTRE,"CareTrust REIT, Inc.",3.16B,0.81%,662014,217.77M
81,JOE,The St. Joe Company,3.12B,0.95%,96128,389.29M
82,TCN,Tricon Residential Inc.,3.04B,0.27%,1514187,849.78M
83,DBRG,"DigitalBridge Group, Inc.",3.01B,0.55%,944255,821.38M
84,SITC,SITE Centers Corp.,2.96B,1.13%,1675072,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.96B,0.19%,759600,319.87M
86,CDP,COPT Defense Properties,2.81B,-0.37%,586424,684.98M
87,BNL,"Broadstone Net Lease, Inc.",2.81B,-,1433337,442.89M
88,ESRT,"Empire State Realty Trust, Inc.",2.76B,-,718486,739.57M
89,DEI,"Douglas Emmett, Inc.",2.76B,-1.46%,1019323,1.02B
90,IIPR,"Innovative Industrial Properties, Inc.",2.74B,0.67%,178127,309.51M
91,LXP,LXP Industrial Trust,2.72B,-0.87%,2280073,340.50M
92,HIW,"Highwoods Properties, Inc.",2.66B,-0.16%,695786,834.00M
93,OUT,Outfront Media Inc.,2.66B,1.49%,2026877,1.82B
94,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,0.65%,185148,214.50M
95,ESBA,"Empire State Realty OP, L.P.",2.60B,1.59%,8835,739.57M
96,NMRK,"Newmark Group, Inc.",2.57B,1.13%,955064,2.47B
97,NHI,"National Health Investors, Inc.",2.56B,0.95%,159116,319.84M
98,MPW,"Medical Properties Trust, Inc.",2.51B,1.67%,12607085,871.80M
99,ABR,"Arbor Realty Trust, Inc.",2.42B,0.77%,2758352,721.01M
100,SHO,"Sunstone Hotel Investors, Inc.",2.28B,0.27%,859156,986.48M
101,FCPT,"Four Corners Property Trust, Inc.",2.25B,-0.62%,209067,250.61M
102,CWK,Cushman & Wakefield plc,2.23B,-0.61%,921205,9.49B
103,UE,Urban Edge Properties,2.13B,-0.53%,375559,416.92M
104,DRH,DiamondRock Hospitality Company,2.02B,-0.21%,555868,1.07B
105,EQC,Equity Commonwealth,2.02B,-,579935,60.52M
106,EXPI,"eXp World Holdings, Inc.",1.98B,-3.52%,740268,4.28B
107,OPEN,Opendoor Technologies Inc.,1.96B,-1.72%,16677413,6.95B
108,PEB,Pebblebrook Hotel Trust,1.94B,-0.43%,638687,1.42B
109,FOR,Forestar Group Inc.,1.87B,0.27%,142992,1.53B
110,AKR,Acadia Realty Trust,1.85B,0.30%,776503,338.69M
111,GNL,"Global Net Lease, Inc.",1.77B,0.26%,1927641,515.07M
112,IVT,InvenTrust Properties Corp.,1.71B,-0.04%,223061,258.68M
113,CXW,"CoreCivic, Inc.",1.67B,-1.55%,1022250,1.90B
114,ROIC,Retail Opportunity Investments Corp.,1.66B,-0.99%,1206200,327.73M
115,AAT,"American Assets Trust, Inc.",1.63B,0.66%,186406,441.16M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.62B,-1.05%,595728,1.03B
117,JBGS,JBG SMITH Properties,1.60B,-0.64%,449896,604.20M
118,NXRT,"NexPoint Residential Trust, Inc.",1.58B,-0.52%,139263,277.53M
119,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.57B,-0.54%,566035,344.59M
120,UNIT,Uniti Group Inc.,1.55B,-4.15%,2380011,1.15B
