,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,005.76B",2.66%,21388946,227.58B
1,AAPL,Apple Inc,"2,667.59B",0.28%,58529744,385.71B
2,NVDA,NVIDIA Corporation,"2,144.35B",7.16%,65246211,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,728.77B,3.87%,18786057,70.35B
4,AVGO,Broadcom Inc.,606.27B,-0.10%,4171785,38.87B
5,ASML,ASML Holding N.V.,403.75B,2.25%,1151000,30.62B
6,AMD,"Advanced Micro Devices, Inc.",317.42B,2.20%,67821456,22.68B
7,ORCL,Oracle Corporation,313.73B,11.75%,48315756,52.51B
8,CRM,"Salesforce, Inc.",296.82B,0.20%,3983225,34.86B
9,ADBE,Adobe Inc.,253.62B,3.34%,3436941,19.41B
10,ACN,Accenture plc,237.11B,1.95%,1793236,64.59B
11,SAP,SAP SE,222.17B,2.11%,635357,34.08B
12,CSCO,"Cisco Systems, Inc.",203.35B,-0.30%,17488961,57.23B
13,QCOM,QUALCOMM Incorporated,190.97B,1.15%,7616057,36.29B
14,INTC,Intel Corporation,189.67B,0.85%,31356382,54.23B
15,INTU,Intuit Inc.,182.45B,1.81%,1090493,15.09B
16,IBM,International Business Machines Corporation,175.77B,3.16%,5071461,61.86B
17,AMAT,"Applied Materials, Inc.",170.66B,1.77%,7140409,26.49B
18,UBER,"Uber Technologies, Inc.",160.87B,1.10%,9776835,37.28B
19,NOW,"ServiceNow, Inc.",159.44B,4.34%,1385788,8.97B
20,TXN,Texas Instruments Incorporated,158.39B,0.35%,5708735,17.52B
21,LRCX,Lam Research Corporation,122.08B,2.33%,1187817,14.32B
22,SONY,Sony Group Corporation,107.66B,1.14%,442632,88.88B
23,MU,"Micron Technology, Inc.",104.33B,3.08%,14928222,16.18B
24,SHOP,Shopify Inc.,98.45B,1.85%,5317215,7.06B
25,ADI,"Analog Devices, Inc.",98.29B,0.50%,3782092,11.57B
26,KLAC,KLA Corporation,92.69B,1.90%,835927,9.67B
27,PANW,"Palo Alto Networks, Inc.",91.54B,0.49%,4039059,7.53B
28,FI,"Fiserv, Inc.",88.41B,0.61%,1595024,19.09B
29,SNPS,"Synopsys, Inc.",87.15B,2.02%,606040,6.13B
30,ANET,"Arista Networks, Inc.",84.22B,4.00%,2232780,5.86B
31,CDNS,"Cadence Design Systems, Inc.",83.23B,1.81%,1330141,4.09B
32,DELL,Dell Technologies Inc.,81.76B,-1.99%,6486856,88.43B
33,INFY,Infosys Limited,81.13B,1.04%,10860572,18.21B
34,ARM,Arm Holdings plc,77.65B,2.18%,18064533,2.96B
35,CRWD,"CrowdStrike Holdings, Inc.",76.76B,3.75%,4130361,3.06B
36,WDAY,"Workday, Inc.",69.51B,1.68%,2037513,7.26B
37,APH,Amphenol Corporation,65.91B,0.66%,1659708,12.55B
38,NXPI,NXP Semiconductors N.V.,64.96B,1.65%,2100668,13.28B
39,MRVL,"Marvell Technology, Inc.",62.56B,-0.82%,16706228,5.51B
40,COIN,"Coinbase Global, Inc.",61.58B,0.78%,13973324,3.11B
41,SMCI,"Super Micro Computer, Inc.",60.42B,7.66%,6613763,9.25B
42,MSI,"Motorola Solutions, Inc.",56.16B,0.71%,494863,9.98B
43,TEAM,Atlassian Corporation,55.95B,0.80%,1165334,3.89B
44,ADSK,"Autodesk, Inc.",55.25B,1.75%,1351818,5.50B
45,PLTR,Palantir Technologies Inc.,55.15B,-2.56%,74434315,2.23B
46,FTNT,"Fortinet, Inc.",54.53B,-0.17%,3823611,5.30B
47,SNOW,Snowflake Inc.,53.51B,-0.21%,6510065,2.81B
48,SQ,"Block, Inc.",50.51B,0.22%,7907215,21.92B
49,MCHP,Microchip Technology Incorporated,49.35B,1.55%,5859383,8.54B
50,STM,ST Microelectronics,43.56B,2.34%,3950996,17.29B
51,TEL,TE Connectivity Ltd.,43.55B,-0.35%,1269267,16.02B
52,DDOG,"Datadog, Inc.",40.31B,1.27%,3062970,2.13B
53,FIS,"Fidelity National Information Services, Inc.",40.21B,-0.29%,2626981,9.82B
54,TTD,"The Trade Desk, Inc.",39.85B,-1.25%,2927218,1.95B
55,CTSH,Cognizant Technology Solutions Corporation,38.31B,0.17%,2418115,19.35B
56,IT,"Gartner, Inc.",36.26B,2.40%,321335,5.91B
57,MPWR,"Monolithic Power Systems, Inc.",35.00B,2.42%,413004,1.82B
58,ON,ON Semiconductor Corporation,34.78B,1.21%,5908855,8.25B
59,CDW,CDW Corporation,33.28B,0.78%,591974,21.38B
60,NET,"Cloudflare, Inc.",32.77B,-0.32%,2847216,1.30B
61,WIT,Wipro Limited,32.48B,0.65%,1719084,11.04B
62,FICO,Fair Isaac Corporation,31.88B,3.58%,142610,1.55B
63,HUBS,"HubSpot, Inc.",31.14B,1.41%,303696,2.17B
64,ZS,"Zscaler, Inc.",30.08B,0.25%,2298698,1.90B
65,HPQ,HP Inc.,30.01B,-0.28%,8280748,53.11B
66,FTV,Fortive Corporation,29.74B,1.57%,1470438,6.07B
67,GFS,GLOBALFOUNDRIES Inc.,29.57B,1.01%,1262680,7.39B
68,ANSS,"ANSYS, Inc.",29.03B,1.25%,260390,2.27B
69,GLW,Corning Incorporated,28.08B,-0.03%,1683325,12.59B
70,GRMN,Garmin Ltd.,28.00B,1.69%,1550697,5.23B
71,MDB,"MongoDB, Inc.",27.87B,0.45%,1567384,1.68B
72,GIB,CGI Inc.,27.28B,0.68%,81788,-
73,KEYS,"Keysight Technologies, Inc.",26.65B,-0.04%,1149023,5.34B
74,SPLK,Splunk Inc.,26.38B,0.06%,1996523,4.22B
75,MSTR,MicroStrategy Incorporated,25.18B,7.35%,3485718,496.26M
76,TEF,"Telefónica, S.A.",24.36B,-,586097,45.17B
77,BR,"Broadridge Financial Solutions, Inc.",24.04B,0.82%,220221,6.32B
78,ASX,"ASE Technology Holding Co., Ltd.",23.72B,3.37%,6300817,18.94B
79,HPE,Hewlett Packard Enterprise Company,23.51B,0.06%,33367832,28.08B
80,PTC,PTC Inc.,22.28B,0.83%,573672,2.18B
81,ZM,"Zoom Video Communications, Inc.",21.43B,0.29%,3015927,4.53B
82,NTAP,"NetApp, Inc.",21.31B,-0.23%,1747541,6.18B
83,FLT,"FLEETCOR Technologies, Inc.",21.07B,0.39%,353045,3.76B
84,ENTG,"Entegris, Inc.",20.84B,1.91%,1233482,3.52B
85,IOT,Samsara Inc.,20.72B,1.88%,4010531,937.39M
86,UMC,United Microelectronics Corporation,20.62B,3.67%,7614468,8.15B
87,WDC,Western Digital Corporation,20.22B,1.48%,4688940,11.26B
88,TDY,Teledyne Technologies Incorporated,20.18B,-0.01%,144033,5.64B
89,NOK,Nokia Oyj,20.14B,0.83%,12498934,24.73B
90,APP,AppLovin Corporation,19.90B,1.80%,3902389,3.28B
91,VRSN,"VeriSign, Inc.",19.46B,-0.44%,607998,1.49B
92,STX,Seagate Technology Holdings plc,19.38B,-0.69%,2357562,6.47B
93,CHKP,Check Point Software Technologies Ltd.,19.13B,0.67%,728220,2.41B
94,JBL,Jabil Inc.,18.86B,1.18%,1494979,33.45B
95,ERIC,Telefonaktiebolaget LM Ericsson (publ),18.59B,2.15%,14504889,26.11B
96,OKTA,"Okta, Inc.",18.04B,-0.54%,1451298,2.26B
97,TYL,"Tyler Technologies, Inc.",17.81B,-0.20%,175592,1.95B
98,EPAM,"EPAM Systems, Inc.",17.64B,1.29%,334421,4.69B
99,ENPH,"Enphase Energy, Inc.",17.47B,-5.98%,4460674,2.29B
100,LDOS,"Leidos Holdings, Inc.",17.28B,-0.01%,568851,15.44B
101,SWKS,"Skyworks Solutions, Inc.",17.25B,1.55%,2301638,4.64B
102,FSLR,"First Solar, Inc.",17.12B,-1.71%,1632406,3.32B
103,AKAM,"Akamai Technologies, Inc.",16.67B,-0.23%,2155777,3.81B
104,PSTG,"Pure Storage, Inc.",16.57B,-3.14%,10769499,2.83B
105,GDDY,GoDaddy Inc.,16.32B,2.58%,1642258,4.25B
106,TER,"Teradyne, Inc.",16.28B,1.74%,1481074,2.68B
107,MANH,"Manhattan Associates, Inc.",15.73B,0.27%,514705,928.73M
108,NTNX,"Nutanix, Inc.",15.56B,0.71%,1252908,2.02B
109,SSNC,"SS&C Technologies Holdings, Inc.",15.49B,-0.13%,619825,5.50B
110,TRMB,Trimble Inc.,15.44B,0.92%,972110,3.80B
111,NICE,NICE Ltd.,15.43B,0.95%,232662,2.38B
112,HOOD,"Robinhood Markets, Inc.",14.85B,-2.79%,12994345,1.87B
113,BSY,"Bentley Systems, Incorporated",14.55B,0.31%,1416883,1.23B
114,ZBRA,Zebra Technologies Corporation,14.52B,1.86%,302760,4.58B
115,LOGI,Logitech International S.A.,14.15B,1.19%,310994,4.25B
116,GEN,Gen Digital Inc.,14.01B,1.28%,2201121,3.79B
117,DT,"Dynatrace, Inc.",13.68B,1.62%,5227628,1.36B
118,PATH,UiPath Inc.,13.64B,2.24%,12278326,1.21B
119,TOST,"Toast, Inc.",13.51B,1.42%,4670293,3.87B
120,AZPN,"Aspen Technology, Inc.",13.09B,-2.19%,194289,1.06B
121,JKHY,"Jack Henry & Associates, Inc.",12.65B,-0.98%,419791,2.16B
122,GRAB,Grab Holdings Limited,12.44B,1.58%,20615226,2.36B
123,FLEX,Flex Ltd.,12.12B,0.52%,3231711,29.39B
124,JNPR,"Juniper Networks, Inc.",12.00B,-0.41%,3948111,5.56B
125,DOCU,"DocuSign, Inc.",11.82B,0.86%,4801204,2.76B
126,PCOR,"Procore Technologies, Inc.",11.56B,-0.44%,697140,950.01M
127,AFRM,"Affirm Holdings, Inc.",11.46B,0.83%,5044271,1.91B
128,FFIV,"F5, Inc.",11.39B,0.20%,326829,2.81B
129,ZI,ZoomInfo Technologies Inc.,11.28B,-3.35%,8942000,1.24B
130,QRVO,"Qorvo, Inc.",11.28B,2.28%,957042,3.46B
131,LSCC,Lattice Semiconductor Corporation,11.02B,1.44%,1375021,737.15M
132,CYBR,CyberArk Software Ltd.,10.87B,0.61%,377811,751.89M
133,DOX,Amdocs Limited,10.82B,0.48%,672917,4.95B
134,DAY,Dayforce Inc,10.59B,0.86%,697530,1.51B
135,MNDY,monday.com Ltd.,10.48B,3.52%,520869,729.70M
136,ESTC,Elastic N.V.,10.47B,1.97%,978783,1.21B
137,PAYC,"Paycom Software, Inc.",10.43B,1.27%,527203,1.69B
138,OTEX,Open Text Corporation,10.35B,-0.88%,346823,5.70B
139,CFLT,"Confluent, Inc.",10.18B,1.08%,3423881,776.95M
140,U,Unity Software Inc.,9.97B,-4.13%,15258011,2.19B
141,WEX,WEX Inc.,9.62B,0.91%,220818,2.55B
142,GWRE,"Guidewire Software, Inc.",9.58B,-0.39%,522051,925.75M
143,PCTY,Paylocity Holding Corporation,9.52B,-0.38%,447020,1.29B
144,INFA,Informatica Inc.,9.42B,3.60%,564540,1.60B
145,COHR,"Coherent, Inc.",9.31B,2.23%,1533187,4.63B
146,GLOB,Globant S.A.,9.29B,0.30%,363243,2.10B
147,SNX,TD SYNNEX Corporation,9.15B,-0.94%,270725,57.56B
148,DUOL,"Duolingo, Inc.",9.15B,3.14%,509470,531.11M
149,GTLB,GitLab Inc.,8.89B,1.42%,3141028,579.91M
150,ONTO,Onto Innovation Inc.,8.88B,1.31%,341553,815.87M
151,NXT,Nextracker Inc.,8.70B,-0.08%,2784469,2.28B
152,AMKR,"Amkor Technology, Inc.",8.58B,1.43%,747301,6.50B
153,MKSI,"MKS Instruments, Inc.",8.55B,0.96%,639252,3.62B
154,CACI,CACI International Inc,8.29B,0.39%,93982,7.13B
155,S,"SentinelOne, Inc.",8.20B,3.63%,7682157,573.08M
156,APPF,"AppFolio, Inc.",8.16B,-1.53%,215460,620.45M
157,DBX,"Dropbox, Inc.",8.08B,1.45%,4191084,2.50B
158,OLED,Universal Display Corporation,7.99B,-1.18%,459534,576.43M
159,DLB,"Dolby Laboratories, Inc.",7.92B,0.06%,174747,1.28B
160,WIX,Wix.com Ltd.,7.91B,2.05%,509292,1.56B
161,DSGX,The Descartes Systems Group Inc.,7.91B,2.27%,180179,572.93M
162,CCCS,CCC Intelligent Solutions Holdings Inc.,7.64B,-0.08%,1622776,866.38M
163,CIEN,Ciena Corporation,7.45B,-0.06%,2632780,4.37B
164,SAIC,Science Applications International Corporation,7.33B,0.73%,336369,7.68B
