,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",118.53B,-1.24%,7948167,28.11B
1,SO,The Southern Company,76.13B,-0.62%,2820041,25.25B
2,DUK,Duke Energy Corporation,73.87B,-0.87%,2716292,29.06B
3,CEG,Constellation Energy Corporation,53.17B,0.27%,2560981,24.92B
4,NGG,National Grid plc,50.09B,-1.60%,317952,26.10B
5,SRE,Sempra,45.42B,-2.19%,1894953,16.72B
6,AEP,"American Electric Power Company, Inc.",44.12B,-0.41%,2871474,18.98B
7,PCG,PG&E Corporation,42.84B,-0.79%,11413617,24.43B
8,D,"Dominion Energy, Inc.",39.90B,-1.39%,4941786,14.39B
9,EXC,Exelon Corporation,36.99B,-0.48%,9831767,21.73B
10,PEG,Public Service Enterprise Group Incorporated,32.38B,-1.45%,1773903,11.24B
11,ED,"Consolidated Edison, Inc.",31.37B,-0.96%,1059824,14.66B
12,XEL,Xcel Energy Inc.,29.37B,-1.91%,6467082,14.21B
13,EIX,Edison International,26.68B,0.10%,1087744,16.34B
14,WEC,"WEC Energy Group, Inc.",25.91B,-1.33%,1238107,8.89B
15,AWK,"American Water Works Company, Inc.",23.43B,-0.96%,1747336,4.23B
16,DTE,DTE Energy Company,23.37B,-1.83%,798627,12.75B
17,FE,FirstEnergy Corp.,22.13B,-1.66%,2381788,12.87B
18,ETR,Entergy Corporation,22.00B,-0.57%,821964,12.15B
19,ES,Eversource Energy,21.17B,-1.38%,1687231,11.91B
20,VST,Vistra Corp.,20.27B,3.70%,5686270,14.78B
21,PPL,PPL Corporation,20.10B,-1.21%,3593399,8.31B
22,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,19.93B,1.50%,1015714,6.75B
23,ELPC,Cia Paranaense De Energia Copel,19.89B,0.14%,39273,4.15B
24,FTS,Fortis Inc.,19.68B,-0.80%,471580,8.66B
25,AEE,Ameren Corporation,19.61B,-0.90%,1414968,7.50B
26,CNP,"CenterPoint Energy, Inc.",18.01B,-1.37%,2925888,8.70B
27,CMS,CMS Energy Corporation,17.81B,-1.74%,1469943,7.46B
28,ATO,Atmos Energy Corporation,17.65B,-0.41%,896852,3.95B
29,BEP,Brookfield Renewable Partners L.P.,15.35B,-2.52%,267114,5.04B
30,BIP,Brookfield Infrastructure Partners L.P.,14.18B,-1.00%,329595,17.93B
31,AGR,"Avangrid, Inc.",13.85B,0.93%,1600457,8.31B
32,LNT,Alliant Energy Corporation,12.70B,-1.65%,1820548,4.03B
33,NRG,"NRG Energy, Inc.",12.63B,3.06%,2434432,28.82B
34,NI,NiSource Inc.,12.12B,-0.96%,2709177,5.51B
35,EVRG,"Evergy, Inc.",11.86B,-0.70%,2205693,5.51B
36,KEP,Korea Electric Power Corporation,11.72B,-0.65%,137490,55.94B
37,AES,The AES Corporation,11.64B,-2.75%,6060133,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,10.77B,-1.28%,978313,4.17B
39,WTRG,"Essential Utilities, Inc.",9.83B,-0.50%,2740028,2.05B
40,PNW,Pinnacle West Capital Corporation,8.20B,-2.06%,978921,4.70B
41,OGE,OGE Energy Corp.,6.84B,-0.94%,1171546,2.67B
42,NFE,New Fortress Energy Inc.,6.70B,-0.06%,1192168,2.41B
43,ELP,Cia Paranaense De Energia Copel,5.99B,0.37%,240913,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.64B,1.28%,1555644,6.51B
45,UGI,UGI Corporation,5.36B,-0.12%,1288883,8.29B
46,SWX,"Southwest Gas Holdings, Inc.",5.31B,-0.93%,360241,5.43B
47,IDA,"IDACORP, Inc.",4.62B,0.10%,412435,1.77B
